seq,anomaly_score,decision
0,0.000000,ALLOW
1,0.000000,ALLOW
2,0.000000,ALLOW
3,0.000000,ALLOW
4,0.000000,ALLOW
5,0.000000,ALLOW
6,0.000000,ALLOW
7,0.000000,ALLOW
8,0.000000,ALLOW
9,0.000000,ALLOW
10,0.000000,ALLOW
11,0.000000,ALLOW
12,0.000000,ALLOW
13,0.000000,ALLOW
14,0.000000,ALLOW
15,0.000000,ALLOW
16,0.000000,ALLOW
17,0.000000,ALLOW
18,0.000000,ALLOW
19,0.000000,ALLOW
20,0.000000,ALLOW
21,0.000000,ALLOW
22,0.000000,ALLOW
23,0.000000,ALLOW
24,0.000000,ALLOW
25,0.000000,ALLOW
26,0.000000,ALLOW
27,0.000000,ALLOW
28,0.000000,ALLOW
29,0.000000,ALLOW
30,0.000000,ALLOW
31,0.000000,ALLOW
32,0.000000,ALLOW
33,0.000000,ALLOW
34,0.000000,ALLOW
35,0.000000,ALLOW
36,0.000000,ALLOW
37,0.000000,ALLOW
38,0.000000,ALLOW
39,0.000000,ALLOW
40,0.000000,ALLOW
41,0.000000,ALLOW
42,0.000000,ALLOW
43,0.000000,ALLOW
44,0.000000,ALLOW
45,0.000000,ALLOW
46,0.000000,ALLOW
47,0.000000,ALLOW
48,0.000000,ALLOW
49,0.000000,ALLOW
50,0.000000,ALLOW
51,0.000000,ALLOW
52,0.000000,ALLOW
53,1.956619,ALLOW
54,1.760957,ALLOW
55,1.584862,ALLOW
56,1.426375,ALLOW
57,1.283738,ALLOW
58,1.155364,ALLOW
59,1.039828,ALLOW
60,0.935845,ALLOW
61,0.842260,ALLOW
62,0.758034,ALLOW
63,0.682231,ALLOW
64,0.614008,ALLOW
65,0.552607,ALLOW
66,0.497346,ALLOW
67,0.447612,ALLOW
68,0.402851,ALLOW
69,0.362565,ALLOW
70,0.326309,ALLOW
71,0.293678,ALLOW
72,0.264310,ALLOW
73,0.237879,ALLOW
74,0.214091,ALLOW
75,0.192682,ALLOW
76,0.173414,ALLOW
77,0.156073,ALLOW
78,1.930301,ALLOW
79,1.737271,ALLOW
80,1.563544,ALLOW
81,1.407190,ALLOW
82,1.266471,ALLOW
83,1.139824,ALLOW
84,1.025841,ALLOW
85,0.923257,ALLOW
86,0.830931,ALLOW
87,2.566199,ALLOW
88,2.309579,ALLOW
89,2.078621,ALLOW
90,1.870759,ALLOW
91,1.683683,ALLOW
92,3.454940,ALLOW
93,3.109446,ALLOW
94,4.348270,ALERT
95,3.913443,ALLOW
96,3.522098,ALLOW
97,3.169889,ALLOW
98,2.852900,ALLOW
99,2.567610,ALLOW
100,2.310849,ALLOW
101,2.079764,ALLOW
102,1.871787,ALLOW
103,1.684609,ALLOW
104,1.516148,ALLOW
105,1.364533,ALLOW
106,1.228080,ALLOW
107,1.105272,ALLOW
108,0.994745,ALLOW
109,0.895270,ALLOW
110,0.805743,ALLOW
111,0.725169,ALLOW
112,0.652652,ALLOW
113,0.587387,ALLOW
114,0.528648,ALLOW
115,0.475783,ALLOW
116,0.428205,ALLOW
117,0.385384,ALLOW
118,0.346846,ALLOW
119,0.312161,ALLOW
120,0.280945,ALLOW
121,0.252851,ALLOW
122,0.227566,ALLOW
123,0.204809,ALLOW
124,0.184328,ALLOW
125,0.165895,ALLOW
126,0.149306,ALLOW
127,0.134375,ALLOW
128,0.120938,ALLOW
129,0.108844,ALLOW
130,0.097960,ALLOW
131,0.088164,ALLOW
132,0.079347,ALLOW
133,0.071413,ALLOW
134,0.064271,ALLOW
135,0.057844,ALLOW
136,0.052060,ALLOW
137,0.046854,ALLOW
138,0.042168,ALLOW
139,0.037952,ALLOW
140,0.034156,ALLOW
141,0.030741,ALLOW
142,0.027667,ALLOW
143,0.024900,ALLOW
144,0.022410,ALLOW
145,0.020169,ALLOW
146,0.018152,ALLOW
147,0.016337,ALLOW
148,0.014703,ALLOW
149,0.013233,ALLOW
150,0.011910,ALLOW
151,0.010719,ALLOW
152,0.009647,ALLOW
153,0.008682,ALLOW
154,0.007814,ALLOW
155,0.007032,ALLOW
156,0.006329,ALLOW
157,0.005696,ALLOW
158,0.005127,ALLOW
159,0.004614,ALLOW
160,0.004153,ALLOW
161,0.003737,ALLOW
162,0.003364,ALLOW
163,0.003027,ALLOW
164,0.002725,ALLOW
165,0.002452,ALLOW
166,0.002207,ALLOW
167,0.001986,ALLOW
168,0.001788,ALLOW
169,0.001609,ALLOW
170,0.001448,ALLOW
171,0.001303,ALLOW
172,0.001173,ALLOW
173,0.001056,ALLOW
174,0.000950,ALLOW
175,0.000855,ALLOW
176,0.000769,ALLOW
177,0.000693,ALLOW
178,0.000623,ALLOW
179,0.000561,ALLOW
180,0.000505,ALLOW
181,0.000454,ALLOW
182,0.000409,ALLOW
183,0.000368,ALLOW
184,0.000331,ALLOW
185,0.000298,ALLOW
186,0.000268,ALLOW
187,0.000241,ALLOW
188,0.000217,ALLOW
189,0.000196,ALLOW
190,0.000176,ALLOW
191,0.000158,ALLOW
192,0.000143,ALLOW
193,0.000128,ALLOW
194,0.000115,ALLOW
195,0.000104,ALLOW
196,0.000094,ALLOW
