seq,acc_cmd,acc_exec,trust,decision
0,0.000000,0.000000,0.900000,ALLOW
1,0.000000,0.333333,0.580728,ALLOW
2,0.000000,0.333333,0.353429,PAUSE
3,0.000000,0.333333,0.225887,PAUSE
4,0.000000,0.333333,0.158451,PAUSE
5,0.000000,0.333333,0.123200,PAUSE
6,0.000000,0.333333,0.104624,PAUSE
7,0.000000,0.333333,0.094671,PAUSE
8,0.000000,0.333333,0.089231,PAUSE
9,0.000000,0.333333,0.086200,PAUSE
10,0.000000,0.333333,0.084481,PAUSE
11,0.000000,0.333333,0.083492,PAUSE
12,0.000000,0.333333,0.082917,PAUSE
13,0.000000,0.333333,0.082579,PAUSE
14,0.000000,0.333333,0.082379,PAUSE
15,0.000000,0.333333,0.082261,PAUSE
16,0.000000,0.333333,0.082190,PAUSE
17,0.000000,0.333333,0.082148,PAUSE
18,0.000000,0.333333,0.082123,PAUSE
19,0.000000,0.000000,0.166748,PAUSE
20,0.000000,0.333333,0.156448,PAUSE
21,0.000000,0.000000,0.254481,PAUSE
22,0.000000,0.000000,0.404559,PAUSE
23,0.000000,0.333333,0.308254,PAUSE
24,0.000000,0.333333,0.218000,PAUSE
25,0.000000,0.000000,0.285384,PAUSE
26,0.000000,0.333333,0.227708,PAUSE
27,0.000000,0.000000,0.312079,PAUSE
28,0.000000,0.333333,0.246058,PAUSE
29,0.000000,0.333333,0.182975,PAUSE
30,0.000000,0.000000,0.258345,PAUSE
31,0.000000,0.333333,0.212353,PAUSE
32,0.000000,0.333333,0.164275,PAUSE
33,0.000000,0.333333,0.131270,PAUSE
34,0.000000,0.000000,0.211452,PAUSE
35,0.000000,0.333333,0.184056,PAUSE
36,0.000000,0.333333,0.148714,PAUSE
37,0.000000,0.333333,0.122920,PAUSE
38,0.000000,0.333333,0.106495,PAUSE
39,0.000000,0.000000,0.189246,PAUSE
40,0.000000,0.000000,0.333346,PAUSE
41,0.000000,0.000000,0.494645,PAUSE
42,0.000000,0.333333,0.360672,PAUSE
43,0.000000,0.333333,0.245190,PAUSE
44,0.000000,0.333333,0.173821,PAUSE
45,0.000000,0.333333,0.133293,PAUSE
46,0.000000,0.000000,0.209635,PAUSE
47,0.000000,0.000000,0.351564,PAUSE
48,0.000000,0.333333,0.276634,PAUSE
49,0.000000,0.000000,0.356917,PAUSE
50,0.000000,0.333333,0.272128,PAUSE
51,0.000000,0.333333,0.196764,PAUSE
52,0.000000,0.000000,0.268241,PAUSE
53,0.000000,0.000000,0.407817,PAUSE
54,0.000000,0.333333,0.308904,PAUSE
55,0.000000,0.333333,0.218007,PAUSE
56,0.000000,0.333333,0.159993,PAUSE
57,0.000000,0.000000,0.233238,PAUSE
58,0.000000,0.333333,0.196588,PAUSE
59,0.000000,0.333333,0.155443,PAUSE
60,0.000000,0.333333,0.126477,PAUSE
61,0.000000,0.333333,0.108386,PAUSE
62,0.000000,0.333333,0.097567,PAUSE
63,0.000000,0.000000,0.180842,PAUSE
64,0.000000,0.333333,0.165233,PAUSE
65,0.000000,0.333333,0.138165,PAUSE
66,0.000000,0.333333,0.117157,PAUSE
67,0.000000,0.333333,0.103349,PAUSE
68,0.000000,0.333333,0.094812,PAUSE
69,0.000000,0.333333,0.089667,PAUSE
70,0.000000,0.333333,0.086598,PAUSE
71,0.000000,0.333333,0.084773,PAUSE
72,0.000000,0.333333,0.083688,PAUSE
73,0.000000,0.333333,0.083042,PAUSE
74,0.000000,0.333333,0.082657,PAUSE
75,0.000000,0.333333,0.082427,PAUSE
76,0.000000,0.333333,0.082290,PAUSE
77,0.000000,0.333333,0.082208,PAUSE
78,0.000000,0.333333,0.082159,PAUSE
79,0.000000,0.333333,0.082129,PAUSE
80,0.000000,0.333333,0.082111,PAUSE
81,0.000000,0.000000,0.166737,PAUSE
82,0.000000,0.333333,0.156442,PAUSE
83,0.000000,0.333333,0.133172,PAUSE
84,0.000000,0.333333,0.114396,PAUSE
85,0.000000,0.333333,0.101825,PAUSE
86,0.000000,0.000000,0.185435,PAUSE
87,0.000000,0.333333,0.168202,PAUSE
88,0.000000,0.000000,0.264620,PAUSE
89,0.000000,0.333333,0.219113,PAUSE
90,0.000000,0.333333,0.168820,PAUSE
91,0.000000,0.333333,0.133997,PAUSE
92,0.000000,0.333333,0.112556,PAUSE
93,0.000000,0.333333,0.099887,PAUSE
94,0.000000,0.333333,0.092501,PAUSE
95,0.000000,0.000000,0.176183,PAUSE
96,0.000000,0.333333,0.162331,PAUSE
97,0.000000,0.333333,0.136520,PAUSE
98,0.000000,0.333333,0.116249,PAUSE
99,0.000000,0.333333,0.102848,PAUSE
100,0.000000,0.333333,0.094534,PAUSE
101,0.000000,0.000000,0.178340,PAUSE
102,0.000000,0.333333,0.163725,PAUSE
103,0.000000,0.000000,0.260759,PAUSE
104,0.000000,0.333333,0.216854,PAUSE
105,0.000000,0.333333,0.167609,PAUSE
106,0.000000,0.000000,0.247314,PAUSE
107,0.000000,0.333333,0.206206,PAUSE
108,0.000000,0.333333,0.161056,PAUSE
109,0.000000,0.333333,0.129605,PAUSE
110,0.000000,0.333333,0.110112,PAUSE
111,0.000000,0.000000,0.192136,PAUSE
112,0.000000,0.000000,0.336020,PAUSE
113,0.000000,0.333333,0.267795,PAUSE
114,0.000000,0.333333,0.196661,PAUSE
115,0.000000,0.000000,0.270302,PAUSE
116,0.000000,0.333333,0.219410,PAUSE
117,0.000000,0.333333,0.168087,PAUSE
118,0.000000,0.000000,0.246776,PAUSE
119,0.000000,0.333333,0.205730,PAUSE
120,0.000000,0.333333,0.160751,PAUSE
121,0.000000,0.333333,0.129426,PAUSE
122,0.000000,0.333333,0.110010,PAUSE
123,0.000000,0.333333,0.098466,PAUSE
124,0.000000,0.000000,0.181593,PAUSE
125,0.000000,0.333333,0.165687,PAUSE
126,0.000000,0.000000,0.262381,PAUSE
127,0.000000,0.333333,0.217792,PAUSE
128,0.000000,0.333333,0.168109,PAUSE
129,0.000000,0.333333,0.133623,PAUSE
130,0.000000,0.000000,0.213581,PAUSE
131,0.000000,0.333333,0.185353,PAUSE
132,0.000000,0.333333,0.149435,PAUSE
133,0.000000,0.333333,0.123310,PAUSE
134,0.000000,0.333333,0.106706,PAUSE
135,0.000000,0.333333,0.096663,PAUSE
136,0.000000,0.000000,0.180114,PAUSE
137,0.000000,0.333333,0.164798,PAUSE
138,0.000000,0.333333,0.137924,PAUSE
139,0.000000,0.000000,0.223312,PAUSE
140,0.000000,0.000000,0.369009,PAUSE
