seq,acc_cmd,acc_exec,trust,decision
0,0.000000,0.000000,0.900000,ALLOW
1,0.000000,1.000000,0.389872,PAUSE
2,0.000000,0.000000,0.255128,PAUSE
3,0.000000,0.000000,0.305809,PAUSE
4,0.000000,0.000000,0.436178,PAUSE
5,0.000000,0.000000,0.581193,ALLOW
6,0.000000,0.000000,0.707636,ALLOW
7,0.000000,0.000000,0.804686,ALLOW
8,0.000000,0.000000,0.873544,ALLOW
9,0.000000,0.000000,0.919934,ALLOW
10,0.000000,1.000000,0.396956,PAUSE
11,0.000000,0.000000,0.256179,PAUSE
12,0.000000,0.000000,0.304023,PAUSE
13,0.000000,0.000000,0.433421,PAUSE
14,0.000000,1.000000,0.193539,PAUSE
15,0.000000,1.000000,0.081317,PAUSE
16,0.000000,1.000000,0.033982,PAUSE
17,0.000000,0.000000,0.029778,PAUSE
18,0.000000,0.000000,0.080576,PAUSE
19,0.000000,0.000000,0.195648,PAUSE
20,0.000000,0.000000,0.353201,PAUSE
21,0.000000,0.000000,0.516949,ALLOW
22,0.000000,0.000000,0.659827,ALLOW
23,0.000000,1.000000,0.289169,PAUSE
24,0.000000,1.000000,0.120131,PAUSE
25,0.000000,0.000000,0.079750,PAUSE
26,0.000000,0.000000,0.134673,PAUSE
27,0.000000,0.000000,0.262024,PAUSE
28,0.000000,1.000000,0.120637,PAUSE
29,0.000000,0.000000,0.116004,PAUSE
30,0.000000,0.000000,0.208510,PAUSE
31,0.000000,0.000000,0.357021,PAUSE
32,0.000000,1.000000,0.161458,PAUSE
33,0.000000,1.000000,0.068305,PAUSE
34,0.000000,0.000000,0.055749,PAUSE
35,0.000000,0.000000,0.118571,PAUSE
36,0.661176,1.000000,0.057393,PAUSE
37,0.000000,0.000000,0.074284,PAUSE
38,0.000000,1.000000,0.036546,PAUSE
39,0.661176,1.000000,0.016656,PAUSE
40,0.661176,0.000000,0.026081,PAUSE
41,0.000000,1.000000,0.014291,PAUSE
42,0.661176,0.130701,0.025342,PAUSE
43,0.661176,0.000000,0.022105,PAUSE
44,0.661176,0.000000,0.016724,PAUSE
45,0.000000,1.000000,0.020960,PAUSE
46,0.000000,0.000000,0.072052,PAUSE
47,0.661176,0.100697,0.061203,PAUSE
48,0.000000,1.000000,0.035594,PAUSE
49,0.000000,0.000000,0.069035,PAUSE
50,0.000000,0.000000,0.170344,PAUSE
51,0.000000,0.000000,0.321632,PAUSE
52,0.661176,0.057459,0.194438,PAUSE
53,0.000000,1.000000,0.097529,PAUSE
54,0.661176,0.037501,0.076260,PAUSE
55,0.000000,1.000000,0.038675,PAUSE
56,0.000000,0.000000,0.061033,PAUSE
57,0.000000,0.000000,0.152182,PAUSE
58,0.000000,0.000000,0.298074,PAUSE
59,0.000000,0.000000,0.463049,PAUSE
60,0.000000,0.000000,0.614814,ALLOW
61,0.000000,0.000000,0.736942,ALLOW
62,0.000000,0.000000,0.826784,ALLOW
63,0.000000,0.000000,0.888941,ALLOW
64,0.661176,0.000000,0.436751,PAUSE
65,0.661176,0.000000,0.199559,PAUSE
66,0.661176,0.000000,0.092045,PAUSE
67,0.000000,1.000000,0.066412,PAUSE
68,0.000000,0.000000,0.125189,PAUSE
69,0.000000,0.000000,0.253148,PAUSE
70,0.000000,0.000000,0.414480,PAUSE
71,0.000000,0.000000,0.572021,ALLOW
72,0.000000,0.000000,0.703622,ALLOW
73,0.000000,0.000000,0.802853,ALLOW
74,0.000000,0.000000,0.872666,ALLOW
75,0.000000,0.000000,0.919493,ALLOW
76,0.661176,0.000000,0.448426,PAUSE
77,0.000000,1.000000,0.208704,PAUSE
78,0.000000,0.000000,0.181584,PAUSE
79,0.661176,0.000000,0.126144,PAUSE
80,0.661176,0.000000,0.069817,PAUSE
81,0.661176,0.000000,0.038445,PAUSE
82,0.000000,1.000000,0.039001,PAUSE
83,0.000000,0.000000,0.101753,PAUSE
84,0.661176,0.000000,0.075166,PAUSE
85,0.000000,1.000000,0.044920,PAUSE
86,0.000000,0.000000,0.083185,PAUSE
87,0.661176,0.000000,0.077810,PAUSE
88,0.000000,1.000000,0.044561,PAUSE
89,0.000000,0.000000,0.079235,PAUSE
90,0.000000,0.000000,0.184523,PAUSE
91,0.000000,0.000000,0.337919,PAUSE
92,0.000000,0.000000,0.501884,ALLOW
93,0.661176,0.000000,0.273871,PAUSE
94,0.661176,0.000000,0.132896,PAUSE
95,0.000000,1.000000,0.080017,PAUSE
96,0.000000,0.000000,0.125055,PAUSE
97,0.000000,0.000000,0.246126,PAUSE
98,0.000000,0.000000,0.405178,PAUSE
99,0.000000,0.000000,0.563226,ALLOW
100,0.000000,0.000000,0.696536,ALLOW
101,0.000000,0.000000,0.797664,ALLOW
102,0.000000,0.000000,0.869095,ALLOW
103,0.000000,0.000000,0.917136,ALLOW
104,0.661176,0.000000,0.447800,PAUSE
105,0.000000,1.000000,0.208436,PAUSE
106,0.000000,0.000000,0.181442,PAUSE
107,0.000000,0.000000,0.274961,PAUSE
108,0.000000,0.000000,0.422568,PAUSE
109,0.661176,0.000000,0.239670,PAUSE
110,0.000000,1.000000,0.119490,PAUSE
111,0.000000,0.000000,0.133946,PAUSE
112,0.000000,0.000000,0.240824,PAUSE
113,0.000000,0.000000,0.394667,PAUSE
114,0.000000,0.000000,0.552402,ALLOW
115,0.000000,0.000000,0.687525,ALLOW
116,0.000000,0.000000,0.790960,ALLOW
117,0.000000,0.000000,0.864440,ALLOW
118,0.000000,0.000000,0.914047,ALLOW
119,0.000000,0.000000,0.946375,ALLOW
120,0.000000,0.000000,0.966928,ALLOW
121,0.000000,0.000000,0.979771,ALLOW
122,0.000000,0.000000,0.987699,ALLOW
123,0.000000,0.000000,0.992550,ALLOW
124,0.661176,0.000000,0.479487,PAUSE
125,0.661176,0.000000,0.216890,PAUSE
126,0.000000,1.000000,0.116601,PAUSE
127,0.000000,0.000000,0.145765,PAUSE
128,0.000000,0.000000,0.261997,PAUSE
129,0.000000,0.000000,0.418591,PAUSE
130,0.661176,0.000000,0.231931,PAUSE
131,0.000000,1.000000,0.116427,PAUSE
132,0.000000,0.000000,0.132792,PAUSE
133,0.000000,0.000000,0.240457,PAUSE
134,0.000000,0.000000,0.394610,PAUSE
135,0.000000,0.000000,0.552450,ALLOW
136,0.000000,0.000000,0.687595,ALLOW
137,0.000000,0.000000,0.791021,ALLOW
138,0.000000,0.000000,0.864486,ALLOW
139,0.000000,0.000000,0.914079,ALLOW
140,0.000000,0.000000,0.946396,ALLOW
141,0.000000,0.000000,0.966942,ALLOW
142,0.000000,0.000000,0.979780,ALLOW
143,0.661176,0.000000,0.474222,PAUSE
