seq,acc_cmd,acc_exec,trust,decision
0,0.000000,0.000000,0.800000,ALLOW
1,0.000000,0.000000,0.920000,ALLOW
2,0.000000,0.000000,0.968000,ALLOW
3,0.000000,0.000000,0.987200,ALLOW
4,0.000000,0.000000,0.994880,ALLOW
5,0.000000,0.000000,0.997952,ALLOW
6,0.000000,0.000000,0.999181,ALLOW
7,0.000000,0.000000,0.999672,ALLOW
8,0.000000,0.000000,0.999869,ALLOW
9,0.000000,0.000000,0.999948,ALLOW
10,0.000000,0.000000,0.999979,ALLOW
11,0.000000,0.000000,0.999992,ALLOW
12,0.000000,0.000000,0.999997,ALLOW
13,0.000000,0.000000,0.999999,ALLOW
14,0.000000,0.000000,0.999999,ALLOW
15,0.000000,0.000000,1.000000,ALLOW
16,0.000000,0.000000,1.000000,ALLOW
17,0.000000,0.000000,1.000000,ALLOW
18,0.000000,0.000000,1.000000,ALLOW
19,0.000000,0.000000,1.000000,ALLOW
20,0.000000,0.000000,1.000000,ALLOW
21,0.000000,0.000000,1.000000,ALLOW
22,0.000000,0.000000,1.000000,ALLOW
23,0.000000,0.000000,1.000000,ALLOW
24,0.000000,0.000000,1.000000,ALLOW
25,0.000000,0.000000,1.000000,ALLOW
26,0.000000,0.000000,1.000000,ALLOW
27,0.000000,0.000000,1.000000,ALLOW
28,0.000000,0.000000,1.000000,ALLOW
29,0.000000,0.000000,1.000000,ALLOW
30,0.000000,0.000000,1.000000,ALLOW
31,0.000000,0.000000,1.000000,ALLOW
32,0.000000,0.000000,1.000000,ALLOW
33,0.000000,0.000000,1.000000,ALLOW
34,0.000000,0.000000,1.000000,ALLOW
35,0.000000,0.000000,1.000000,ALLOW
36,0.048230,0.000000,0.959587,ALLOW
37,0.000000,0.000000,0.958889,ALLOW
38,0.000000,1.000000,0.683265,ALLOW
39,0.000310,0.000000,0.613394,ALLOW
40,0.000427,0.000000,0.641122,ALLOW
41,0.000543,0.000000,0.709210,ALLOW
42,0.000379,0.000000,0.784200,ALLOW
43,0.006482,0.000000,0.843805,ALLOW
44,0.000516,0.000000,0.893385,ALLOW
45,0.000499,0.000000,0.929763,ALLOW
46,0.000310,0.000000,0.954826,ALLOW
47,0.000427,0.000000,0.971209,ALLOW
48,0.000543,0.000000,0.981530,ALLOW
49,0.000379,0.000000,0.988088,ALLOW
50,0.006482,0.000000,0.986753,ALLOW
51,0.000516,0.000000,0.989135,ALLOW
52,0.000499,0.000000,0.991861,ALLOW
53,0.000310,0.000000,0.994187,ALLOW
54,0.000427,0.000000,0.995756,ALLOW
55,0.000543,0.000000,0.996663,ALLOW
56,0.000379,0.000000,0.997341,ALLOW
57,0.006506,0.000000,0.992357,ALLOW
58,0.000503,0.000000,0.992531,ALLOW
59,0.000503,0.000000,0.993909,ALLOW
60,0.000294,0.000000,0.995435,ALLOW
61,0.000424,0.000000,0.996515,ALLOW
62,0.000553,0.000000,0.997114,ALLOW
63,0.000374,0.000000,0.997614,ALLOW
64,0.006482,0.000000,0.992542,ALLOW
65,0.000516,0.000000,0.992640,ALLOW
66,0.000499,0.000000,0.993977,ALLOW
67,0.000098,0.000000,0.995652,ALLOW
68,0.000299,0.000000,0.996828,ALLOW
69,0.000405,0.000000,0.997507,ALLOW
70,0.000517,0.000000,0.997805,ALLOW
71,0.000363,0.000000,0.998076,ALLOW
72,0.006458,0.000000,0.992859,ALLOW
73,0.000491,0.000000,0.992868,ALLOW
74,0.000469,0.000000,0.994156,ALLOW
75,0.000299,0.000000,0.995597,ALLOW
76,0.000405,0.000000,0.996635,ALLOW
77,0.000517,0.000000,0.997227,ALLOW
78,0.000363,0.000000,0.997709,ALLOW
79,0.006458,0.000000,0.992631,ALLOW
80,0.000491,0.000000,0.992728,ALLOW
81,0.000469,0.000000,0.994071,ALLOW
82,0.000299,0.000000,0.995545,ALLOW
83,0.000405,0.000000,0.996604,ALLOW
84,0.000517,0.000000,0.997209,ALLOW
85,0.000363,0.000000,0.997697,ALLOW
86,0.006480,0.000000,0.992604,ALLOW
87,0.000479,0.000000,0.992715,ALLOW
88,0.000473,0.000000,0.994061,ALLOW
89,0.000283,0.000000,0.995552,ALLOW
90,0.000404,0.000000,0.996614,ALLOW
91,0.000525,0.000000,0.997211,ALLOW
92,0.000359,0.000000,0.997700,ALLOW
93,0.006458,0.000000,0.992626,ALLOW
94,0.000491,0.000000,0.992726,ALLOW
95,0.000469,0.000000,0.994069,ALLOW
96,0.000098,0.000000,0.995724,ALLOW
97,0.000288,0.000000,0.996888,ALLOW
98,0.000382,0.000000,0.997570,ALLOW
99,0.000490,0.000000,0.997877,ALLOW
100,0.000348,0.000000,0.998147,ALLOW
101,0.006434,0.000000,0.992933,ALLOW
102,0.000466,0.000000,0.992948,ALLOW
103,0.000439,0.000000,0.994245,ALLOW
104,0.000288,0.000000,0.995677,ALLOW
105,0.000382,0.000000,0.996714,ALLOW
106,0.000490,0.000000,0.997311,ALLOW
107,0.000348,0.000000,0.997787,ALLOW
108,0.006434,0.000000,0.992710,ALLOW
109,0.000466,0.000000,0.992811,ALLOW
110,0.000439,0.000000,0.994161,ALLOW
111,0.000288,0.000000,0.995626,ALLOW
112,0.000382,0.000000,0.996683,ALLOW
113,0.000490,0.000000,0.997292,ALLOW
114,0.000348,0.000000,0.997776,ALLOW
115,0.006455,0.000000,0.992684,ALLOW
116,0.000454,0.000000,0.992798,ALLOW
117,0.000443,0.000000,0.994152,ALLOW
118,0.000271,0.000000,0.995634,ALLOW
119,0.000383,0.000000,0.996692,ALLOW
120,0.000496,0.000000,0.997294,ALLOW
121,0.000344,0.000000,0.997778,ALLOW
122,0.006434,0.000000,0.992706,ALLOW
123,0.000466,0.000000,0.992808,ALLOW
124,0.000439,0.000000,0.994160,ALLOW
125,0.000098,0.000000,0.995794,ALLOW
126,0.000261,0.000000,0.996961,ALLOW
127,0.000362,0.000000,0.997645,ALLOW
128,0.000463,0.000000,0.997959,ALLOW
129,0.000332,0.000000,0.998225,ALLOW
130,0.006409,0.000000,0.993013,ALLOW
131,0.000442,0.000000,0.993031,ALLOW
132,0.000424,0.000000,0.994322,ALLOW
133,0.000261,0.000000,0.995759,ALLOW
134,0.000362,0.000000,0.996796,ALLOW
135,0.000463,0.000000,0.997398,ALLOW
136,0.000332,0.000000,0.997868,ALLOW
137,0.006409,0.000000,0.992792,ALLOW
138,0.000442,0.000000,0.992895,ALLOW
139,0.000424,0.000000,0.994239,ALLOW
140,0.000261,0.000000,0.995708,ALLOW
141,0.000362,0.000000,0.996765,ALLOW
142,0.000463,0.000000,0.997379,ALLOW
143,0.000332,0.000000,0.997857,ALLOW
144,0.006430,0.000000,0.992767,ALLOW
145,0.000430,0.000000,0.992883,ALLOW
146,0.000413,0.000000,0.994243,ALLOW
147,0.000260,0.000000,0.995716,ALLOW
148,0.000362,0.000000,0.996772,ALLOW
149,0.000470,0.000000,0.997378,ALLOW
150,0.000329,0.000000,0.997857,ALLOW
151,0.006409,0.000000,0.992785,ALLOW
152,0.000442,0.000000,0.992891,ALLOW
153,0.000424,0.000000,0.994237,ALLOW
154,0.000098,0.000000,0.995852,ALLOW
155,0.000233,0.000000,0.997025,ALLOW
156,0.000341,0.000000,0.997713,ALLOW
157,0.000435,0.000000,0.998036,ALLOW
158,0.000317,0.000000,0.998300,ALLOW
159,0.006384,0.000000,0.993090,ALLOW
160,0.000417,0.000000,0.993112,ALLOW
161,0.000409,0.000000,0.994399,ALLOW
162,0.000233,0.000000,0.995840,ALLOW
163,0.000341,0.000000,0.996877,ALLOW
164,0.000435,0.000000,0.997484,ALLOW
165,0.000317,0.000000,0.997949,ALLOW
166,0.006384,0.000000,0.992873,ALLOW
167,0.000417,0.000000,0.992979,ALLOW
168,0.000409,0.000000,0.994317,ALLOW
169,0.000233,0.000000,0.995791,ALLOW
170,0.000341,0.000000,0.996847,ALLOW
171,0.000435,0.000000,0.997466,ALLOW
172,0.000317,0.000000,0.997938,ALLOW
173,0.006405,0.000000,0.992849,ALLOW
174,0.000406,0.000000,0.992967,ALLOW
175,0.000382,0.000000,0.994335,ALLOW
176,0.000249,0.000000,0.995797,ALLOW
177,0.000339,0.000000,0.996851,ALLOW
178,0.000443,0.000000,0.997462,ALLOW
179,0.000314,0.000000,0.997935,ALLOW
180,0.006384,0.000000,0.992865,ALLOW
181,0.000417,0.000000,0.992974,ALLOW
182,0.000409,0.000000,0.994315,ALLOW
183,0.000098,0.000000,0.995910,ALLOW
184,0.000206,0.000000,0.997089,ALLOW
185,0.000320,0.000000,0.997782,ALLOW
186,0.000409,0.000000,0.998114,ALLOW
187,0.000301,0.000000,0.998375,ALLOW
188,0.006360,0.000000,0.993168,ALLOW
189,0.000392,0.000000,0.993194,ALLOW
